text,source
"The new dashboard feature is fantastic! Makes my work so much easier.",email
"App crashes when I try to export large datasets. Very frustrating.",support
"Love the recent UI update, but the color scheme could be more accessible.",survey
"Pricing seems high compared to competitors. Would appreciate a discount for annual plans.",pricing_inquiry
"Customer support responded within minutes. Great experience!",support
"The mobile app is too slow. Takes forever to load.",email
"Feature request: Please add dark mode!",survey
"Found a bug in the payment processing. Orders are duplicating.",support
"Overall great product but needs better documentation for advanced features.",email
"The integration with Slack works perfectly. Very helpful for our team.",survey
"Website is down frequently. This is affecting our business operations.",support
"Would love to see more customization options for reports.",email
"The onboarding process was confusing. Took me hours to set up.",survey
"Performance has improved significantly after the last update. Thank you!",email
"Can you add multi-language support? We have international users.",survey
